"","superkingdom","phylum","class","order","family","genus","species"
"608c976c9d0b3f9ec69db5fd61ac79f8","Bacteria","Bacteroidota","Cytophagia","Cytophagales","Fulvivirgaceae",NA,NA
"80ee064e393759da3f611087b1440bbe","Bacteria","Bacteroidota","Cytophagia","Cytophagales","Fulvivirgaceae","Ohtaekwangia","Ohtaekwangia koreensis"
"7b5624cdc9220100952dd8df6e7118b7","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Microbacteriaceae","Microbacterium",NA
"70734e5ec775a1ac22d2e2e192561061","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Microbacteriaceae","Microbacterium",NA
"1eae697e7c2720d472ed38b9541100bf","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium testaceum"
"eceb8fe857436ad838dd34ad2fab380c","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium petrolearium"
"0d7eeb9beff203a86c8f396d548b0008","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium flavescens"
"52f4f09e0c6a36d5488a78163aef4558","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Microbacteriaceae","Microbacterium",NA
"99ea6290496bb3b3c5baeef80f0ab428","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Microbacteriaceae","Microbacterium",NA
"4142dfcff13e2c559c1474ce92a43db8","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Microbacteriaceae","Microbacterium",NA
"c98d2406852a8283f697510a88d28d3b",NA,NA,NA,NA,NA,NA,NA
"cf7045a8f39cdb3d7cd2671055bd655a","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoanaerobaculum","Lachnoanaerobaculum umeaense"
"a7336cd82a9480c3844e2e52bd790058","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales",NA,NA,NA
"1239ec92ca223d8e86b9d3fb41e14e23","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus",NA
"031686a08338310aeb07fbb10d1078dd","Bacteria","Proteobacteria","Gammaproteobacteria","Nevskiales","Steroidobacteraceae","Steroidobacter","Steroidobacter flavus"
"ac91e4b191519aadedb920cb94668815","Bacteria","Proteobacteria","Gammaproteobacteria","Nevskiales","Steroidobacteraceae","Steroidobacter","Steroidobacter soli"
"724f8bfeea8e7c9478f1afa0c72bfdaf","Bacteria","Proteobacteria","Gammaproteobacteria","Nevskiales","Steroidobacteraceae","Steroidobacter","Steroidobacter agaridevorans"
"9fde2c626c6d5353892bffa7646f37f9","Bacteria","Proteobacteria","Gammaproteobacteria","Nevskiales","Steroidobacteraceae","Steroidobacter","Steroidobacter agaridevorans"
"dae495e823196b774dec6f2aefd06dce","Bacteria","Proteobacteria","Gammaproteobacteria","Nevskiales","Steroidobacteraceae","Steroidobacter","Steroidobacter agaridevorans"
"a80c44b1c5681626f6bd94c47a2530a4",NA,NA,NA,NA,NA,NA,NA
"db7ebb19a852ffa1bee642c2dda3ce21","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Weeksellaceae","Empedobacter","Empedobacter brevis"
"77c400bc25233f31865501a99e2a4901",NA,NA,NA,NA,NA,NA,NA
"ea8a286d3dd574179d987673f601a1fb","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteimonas","Luteimonas notoginsengisoli"
"89d6467b33535ebf6d1dbecef761211b",NA,NA,NA,NA,NA,NA,NA
"d0caee52a2bb24ba2cfd17c6b5208387","Bacteria","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter sp. HMF7647"
"06b93c50007a7911250830aeb8a000ef","Bacteria","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter",NA
"2248fd2ad1f69a766854c6fb25d04d92","Bacteria","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Daejeonella","Daejeonella huanghensis"
"1f1ead7bf5b24fc8e71c6918789467c2","Bacteria","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter chitinilyticus"
"bd863dd86cc0e9c03fb88efed679a449","Bacteria","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter chitinilyticus"
"89b0cae2fa6f1cfb42a2fb0c154c616a","Bacteria","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter chitinilyticus"
